Restaurant Names,Rating,Rating Count,Latitude,Longitude
Hookah Boss,4.0,9,40.187202,44.509457
54 Hookah & More,5.0,2,40.188984,44.514980
HOUL,5.0,7,40.171799,44.511890
Shirvan Persian Halal Restaurant,4.0,22,40.183205,44.516327
The Key,5.0,3,40.184616,44.509563
Jano Restaurant,4.5,31,40.159775,44.511906
Rock.n.Bite,5.0,2,40.182774,44.520733
Roomz,4.5,5,40.182266,44.513451
Hookah Place Yerevan,5.0,9,40.187477,44.513664
Montale Lounge Cafe,4.0,20,40.184792,44.514801
Art Lunch (Payte Tnak),0.0,0,40.180614,44.518616
Latar Restaurant,3.5,7,40.216423,44.439240
Eden Cafe Pub,4.5,60,40.189171,44.515190
Tashir Pizza,3.0,127,40.189041,44.517899
Noyan Restaurant,4.5,27,40.185303,44.510750
Provence Cafe Restaurant,4.5,50,40.180813,44.515503
FABER GE CAFE Boutique,4.0,11,40.184406,44.510311
AURA Tavern,0.0,0,40.199936,44.493645
Aragast,4.0,6,40.188393,44.519196
Old Monument Restaurant,0.0,0,40.199589,44.521191
Fourchette Buffet,4.0,23,40.186966,44.513641
Mary's Kitchen Burgers,4.0,1,40.185398,44.508579
Yeraz,4.0,4,40.219574,44.529976
Renoir,0.0,0,40.185734,44.520882
Pizza Toria Yerevan,4.0,78,40.182266,44.517944
Cactus Restaurant,4.5,171,40.184902,44.512936
Blue Sky,5.0,6,40.197559,44.519073
Bellavista Italia,5.0,6,40.183662,44.514603
Enoteca EVN,4.5,69,40.182537,44.513142
Smoothie,0.0,0,40.183796,44.519184
Cafe Aznavour,5.0,1,40.204346,44.517097
Blueberry,5.0,3,40.181110,44.516109
KFC,4.5,23,40.205757,44.505077
Karas National Food Chain,5.0,63,40.182720,44.516678
Beijing,3.0,12,40.178856,44.515114
DOC Therapy Bar,5.0,9,40.181320,44.514847
Achajour Cafe,4.0,58,40.190952,44.506428
Chaman Home-Restaurant,5.0,14,40.179413,44.502239
BAR-BAR Bar and Restaurant,4.5,9,40.180969,44.510086
Tapastan,4.5,303,40.186771,44.508747
Rooms by Famous,0.0,0,40.184086,44.526688
Chez Hratch,5.0,90,40.185585,44.511250
Barrrut,5.0,1,40.179768,44.520889
Tap Station,4.0,12,40.178329,44.511017
Safran restaurant,4.0,50,40.176060,44.514713
The Loft  Cocktails Hookah Hause,5.0,3,40.173744,44.516533
Vegas Restaurant Seafood & More,5.0,13,40.178844,44.521626
Greek House,5.0,1,40.172672,44.511227
Tasty Indian Restaurant,0.0,0,40.211685,44.524357
Bertiz Cafeteria & Restaurant,4.0,7,40.182941,44.512348
DO RE MI,5.0,1,40.186115,44.525829
MGM Restaurant,0.0,0,40.191566,44.588593
Vernatun,4.0,23,40.179798,44.516525
Genacvale Pandok,4.5,4,40.206139,44.500683
Tumanyan Shaurma,4.5,3,40.171871,44.513172
Mr. Hookah,4.5,21,40.181282,44.507214
Rooby Cafe Cascade,4.0,32,40.189919,44.515831
Karas,4.0,13,40.154823,44.500015
The Club Yerevan,4.5,694,40.186474,44.511944
Tavern Melnitsa,3.5,51,40.178909,44.523872
Kamoun.Am,5.0,1,40.178280,44.509384
Lavash Restaurant Yerevan,5.0,2818,40.182999,44.516357
Odalen,5.0,18,40.215294,44.493645
Nathan's Famous Armenia,0.0,0,40.155331,44.499901
The Old House,4.5,80,40.178741,44.515175
Segafredo Zanetti Espresso,4.0,88,40.183857,44.514996
Ristorante Marina Stile Italiano,4.0,15,40.189384,44.514717
Sushi Kushi,3.5,6,40.182949,44.516663
Voskevaz Wine Time,4.5,80,40.186695,44.508724
Smoking Chef Grill & Wine,4.5,120,40.185760,44.507915
Rena Restaurant,4.5,2,40.154533,44.484039
Kantegh Restaurant Complex,4.0,5,40.176929,44.507084
Tbiliso Restaurant,4.0,15,40.179924,44.502728
The Corner Cafe,4.5,10,40.184097,44.516167
Pome Tree,5.0,55,40.179832,44.510605
Eastern Cuisine,3.5,24,40.202057,44.496758
Bazaar Restaurant,5.0,13,40.181068,44.514740
Bulldog Pub,4.5,4,40.187023,44.512199
2nd Floor,4.5,37,40.180946,44.515476
Art Lunch,0.0,0,40.187260,44.516876
AnnCake,5.0,5,40.180489,44.520420
Charlie Public House,5.0,22,40.186367,44.513557
Diamond Restaurant,3.5,122,40.179165,44.513180
Suteki Sushi Bar,5.0,2,40.174339,44.510323
Kebabistan,5.0,2,40.185528,44.511234
Shame GastroBar,5.0,89,40.178825,44.506302
LUPIN Boba,0.0,0,40.205074,44.504425
Art Lunch,0.0,0,40.197231,44.493622
Labeerint Beer Restaurant,3.0,23,40.186520,44.512653
Lamadjo House,0.0,0,40.179951,44.512184
Don Fish Restaurant,0.0,0,40.206562,44.574150
Amar Cafe And Rest Area,5.0,3,40.189762,44.499779
Ginovkats Wine House,3.5,37,40.182236,44.515610
Cafe XV,4.5,34,40.180080,44.511379
Eat Meat Restaurant,0.0,0,40.189934,44.520416
Tufenkian Kharpert Restaurant,4.5,133,40.176701,44.516716
Empire Hookah Lounge,5.0,5,40.184017,44.513641
One Yerevan Gastro pub,5.0,7,40.184597,44.512001
Hookah Boss,5.0,1,40.187405,44.509609
Tumanyan Shaurma,4.0,1,40.155563,44.499371
Restaurant Seasons,4.5,71,40.182331,44.509022
Dine Sky,5.0,6,40.157681,44.501526
L'Orange Azur,5.0,13,40.188374,44.517990
Goody's Burger House Armenia,4.0,27,40.180618,44.514225
Saykimchi,0.0,0,40.186466,44.512596
Yasaman Yerevan's Restaurant,4.5,31,40.184586,44.507744
Arvestanots Art Cafe,5.0,2,40.182209,44.518093
Avtobus Cafe,5.0,2,40.178234,44.514622
Hookah Place,4.5,9,40.187130,44.513573
Татик Папик,4.0,7,40.176857,44.517788
Tashir Pizza,3.0,23,40.180832,44.514572
La Fayette Restaurant,5.0,39,40.185780,44.548588
Sayat-Nova Tavern,5.0,44,40.177433,44.526966
Station Pub,5.0,7,40.185371,44.511051
Ace of Spades Bar & Grill,5.0,36,40.186954,44.512188
Gamardzhoba,4.5,8,40.187004,44.513607
New Spidag,5.0,2,40.188259,44.513950
Eight18n Cocktail Bar & Bites,5.0,21,40.187359,44.510242
Aleppo Cuisine,0.0,0,40.184208,44.513512
Tsirani Garden Restaurant,4.5,210,40.229450,44.598133
Mandaloun,4.5,11,40.179428,44.516991
Garun Healthy Food Cafe,5.0,80,40.182751,44.517017
Say Cheese,5.0,152,40.183033,44.504517
Twelve Tables,5.0,48,40.186943,44.512169
Jazzve,3.0,32,40.185162,44.514286
Taboule Lebanese Restaurant,4.5,106,40.176476,44.505749
Parvana,3.5,76,40.189335,44.493031
Shirak Restaurant,4.0,14,40.177296,44.508011
Jean-Paul Existential Cafe,4.5,18,40.180595,44.512436
