Name,latitude,longitude
Art Lunch Mergelyan branch,40.179615,44.525181
Coffee ROOM,40.199692,44.565502
Yellow YERAZ,40.17823,44.515453
Baba Ghanouj,40.183804,44.500576
The Capital,40.18483,44.512043
Ouloung Restaurant-Club,40.17878,44.500175
Hacker Pschorr Munchen Grill House Yerevan,40.190254,44.515144
Rio Bar,40.186401,44.507435
Livingston Restaurant,40.188568,44.483521
Ai Leoni Bar Ristorante Italiano,40.186611,44.511639
Vincent Lobby Bar,40.175423,44.508812
Local's Coffee & Eatery,40.15506,44.499634
SANTAFE,40.187962,44.515251
Genacvale Pandok,40.195248,44.4883
Jazzve Cafe,40.186829,44.510998
Pahest33,40.187874,44.515724
Caucasus Tavern,40.179527,44.522751
2 Lives,40.187199,44.512436
Wine Republic,40.189259,44.516045
Centrico Cascade,40.18948,44.513935
Katsa,40.178684,44.504875
OPERA Club-Restaurant,40.186302,44.515175
Soul Kitchen Yerevan,40.183605,44.510677
Buffalo Grill Bar,40.178329,44.520481
Peacock Cafe,40.181969,44.514469
"Hugo Bar, Restaurant & Cafe",40.180134,44.515621
Nubara Family Restaurant,40.216599,44.577007
KAV Restaurant and Guest House,40.176598,44.493519
Ararat View-Garden,40.175331,44.557949
Malkhas Jazz Club.,40.184265,44.51046
Sushi Salon,40.197197,44.518955
La Cucina,40.185287,44.517658
Hookah Boss,40.187202,44.509457
54 Hookah & More,40.188984,44.51498
HOUL,40.171799,44.51189
Shirvan Persian Halal Restaurant,40.183205,44.516327
The Key,40.184616,44.509563
Jano Restaurant,40.159775,44.511906
Rock.n.Bite,40.182774,44.520733
Roomz,40.182266,44.513451
Hookah Place Yerevan,40.187477,44.513664
Montale Lounge Cafe,40.184792,44.514801
Art Lunch (Payte Tnak),40.180614,44.518616
Latar Restaurant,40.216423,44.43924
Eden Cafe Pub,40.189171,44.51519
Tashir Pizza,40.189041,44.517899
Noyan Restaurant,40.185303,44.51075
Provence Cafe Restaurant,40.180813,44.515503
FABER GE CAFE Boutique,40.184406,44.510311
AURA Tavern,40.199936,44.493645
Aragast,40.188393,44.519196
Old Monument Restaurant,40.199589,44.521191
Fourchette Buffet,40.186966,44.513641
Mary's Kitchen Burgers,40.185398,44.508579
Yeraz,40.219574,44.529976
Renoir,40.185734,44.520882
Pizza Toria Yerevan,40.182266,44.517944
Cactus Restaurant,40.184902,44.512936
Blue Sky,40.197559,44.519073
Bellavista Italia,40.183662,44.514603
Enoteca EVN,40.182537,44.513142
Smoothie,40.183796,44.519184
Cafe Aznavour,40.204346,44.517097
Blueberry,40.18111,44.516109
KFC,40.205757,44.505077
Karas National Food Chain,40.18272,44.516678
Beijing,40.178856,44.515114
DOC Therapy Bar,40.18132,44.514847
Achajour Cafe,40.190952,44.506428
Chaman Home-Restaurant,40.179413,44.502239
BAR-BAR Bar and Restaurant,40.180969,44.510086
Tapastan,40.186771,44.508747
Rooms by Famous,40.184086,44.526688
Chez Hratch,40.185585,44.51125
Barrrut,40.179768,44.520889
Tap Station,40.178329,44.511017
Safran restaurant,40.17606,44.514713
The Loft  Cocktails Hookah Hause,40.173744,44.516533
Vegas Restaurant Seafood & More,40.178844,44.521626
Greek House,40.172672,44.511227
Tasty Indian Restaurant,40.211685,44.524357
Bertiz Cafeteria & Restaurant,40.182941,44.512348
DO RE MI,40.186115,44.525829
MGM Restaurant,40.191566,44.588593
Vernatun,40.179798,44.516525
Genacvale Pandok,40.206139,44.500683
Tumanyan Shaurma,40.171871,44.513172
Mr. Hookah,40.181282,44.507214
Rooby Cafe Cascade,40.189919,44.515831
Karas,40.154823,44.500015
The Club Yerevan,40.186474,44.511944
Tavern Melnitsa,40.178909,44.523872
Kamoun.Am,40.17828,44.509384
Lavash Restaurant Yerevan,40.182999,44.516357
Odalen,40.215294,44.493645
Nathan's Famous Armenia,40.155331,44.499901
The Old House,40.178741,44.515175
Segafredo Zanetti Espresso,40.183857,44.514996
Ristorante Marina Stile Italiano,40.189384,44.514717
Sushi Kushi,40.182949,44.516663
Voskevaz Wine Time,40.186695,44.508724
Smoking Chef Grill & Wine,40.18576,44.507915
Rena Restaurant,40.154533,44.484039
Kantegh Restaurant Complex,40.176929,44.507084
Tbiliso Restaurant,40.179924,44.502728
The Corner Cafe,40.184097,44.516167
Pome Tree,40.179832,44.510605
Eastern Cuisine,40.202057,44.496758
Bazaar Restaurant,40.181068,44.51474
Bulldog Pub,40.187023,44.512199
2nd Floor,40.180946,44.515476
Art Lunch,40.18726,44.516876
AnnCake,40.180489,44.52042
Charlie Public House,40.186367,44.513557
Diamond Restaurant,40.179165,44.51318
Suteki Sushi Bar,40.174339,44.510323
Kebabistan,40.185528,44.511234
Shame GastroBar,40.178825,44.506302
LUPIN Boba,40.205074,44.504425
Art Lunch,40.197231,44.493622
Labeerint Beer Restaurant,40.18652,44.512653
Lamadjo House,40.179951,44.512184
Don Fish Restaurant,40.206562,44.57415
Amar Cafe And Rest Area,40.189762,44.499779
Ginovkats Wine House,40.182236,44.51561
Cafe XV,40.18008,44.511379
Eat Meat Restaurant,40.189934,44.520416
Tufenkian Kharpert Restaurant,40.176701,44.516716
Empire Hookah Lounge,40.184017,44.513641
One Yerevan Gastro pub,40.184597,44.512001
Hookah Boss,40.187405,44.509609
Tumanyan Shaurma,40.155563,44.499371
Restaurant Seasons,40.182331,44.509022
Dine Sky,40.157681,44.501526
L'Orange Azur,40.188374,44.51799
Goody's Burger House Armenia,40.180618,44.514225
Saykimchi,40.186466,44.512596
Yasaman Yerevan's Restaurant,40.184586,44.507744
Arvestanots Art Cafe,40.182209,44.518093
Avtobus Cafe,40.178234,44.514622
Hookah Place,40.18713,44.513573
Татик Папик,40.176857,44.517788
Tashir Pizza,40.180832,44.514572
La Fayette Restaurant,40.18578,44.548588
Sayat-Nova Tavern,40.177433,44.526966
Station Pub,40.185371,44.511051
Ace of Spades Bar & Grill,40.186954,44.512188
Gamardzhoba,40.187004,44.513607
New Spidag,40.188259,44.51395
Eight18n Cocktail Bar & Bites,40.187359,44.510242
Aleppo Cuisine,40.184208,44.513512
Tsirani Garden Restaurant,40.22945,44.598133
Mandaloun,40.179428,44.516991
Garun Healthy Food Cafe,40.182751,44.517017
Say Cheese,40.183033,44.504517
Twelve Tables,40.186943,44.512169
Jazzve,40.185162,44.514286
Taboule Lebanese Restaurant,40.176476,44.505749
Parvana,40.189335,44.493031
Shirak Restaurant,40.177296,44.508011
Jean-Paul Existential Cafe,40.180595,44.512436
Vienna ribs,40.183865,44.504875
Martiros,40.186962,44.508862
dors city point,40.189785,44.515038
Shawarma Land,40.183098,44.510418
Zhinglyanov Hats,40.187004,44.519478
Noyan Tun,40.180752,44.508488
Picasso Yerevan,40.181889,44.511452
Oliva Restaurant,40.18214,44.511452
jrvej Tavern,40.186623,44.603939
Anteb,40.18195,44.511501
Go Green Armenia,40.218018,44.573856
ATTOR Buffet & Restaurant,40.17485,44.51403
37 Beer And Meat,40.185841,44.5135
Mayrig Yerevan,40.180202,44.511086
Ararat Restaurant,40.178093,44.512665
El Torro,40.18676,44.508457
Beer Yard,40.144604,44.53381
Magic Doors,40.184315,44.510052
Derian Restaurant,40.175949,44.517059
Paparazzi Cafe,40.181274,44.51582
Sandwich House,40.188015,44.513905
Studio Cafe,40.189941,44.51564
Art Lunch,40.179615,44.525181
Back To Black,40.178669,44.514973
Fourchette Buffet,40.180386,44.508747
Life Cafe,40.179813,44.523258
Pomidoro,40.206596,44.512661
Pastrami,40.185936,44.512806
Tomas Smokey Ribs,40.177135,44.517273
Beijing Cascade,40.188763,44.515713
Bora Bora Show Club,40.185219,44.516087
Burger Pub,40.186241,44.518887
Flavours of India,40.199142,44.518665
Vanatour Restaurant,40.188301,44.594395
Koriz Restaurant,40.220425,44.573383
Casa Nostra,40.183243,44.507114
Cafe Champagne,40.184082,44.511154
EL Garden,40.186691,44.48138
KONG Cafe & Cocktail Room,40.180943,44.515442
StarBus Coffee,40.185036,44.510208
Navavar & Jean-Paul Existential Cafe,40.180618,44.512451
Feyrouz,40.179382,44.513668
Cheesy Cafe,40.183025,44.514774
CRUMBS Bread Factory,40.186291,44.513645
Hookahtown Lounge/Cafe,40.1819,44.517139
Dragon Garden,40.183823,44.508015
Vahakni Restaurant,40.220451,44.457272
"""TAO"" Chinese and Japanese Cuisine Restaurant",40.17984,44.521076
Bisquit Dessert Bar,40.21278,44.522339
Antarayin Dzayner,40.203606,44.501217
Granada,40.180115,44.515682
Art Lunch,40.205917,44.5214
No Sugar,40.180824,44.519871
Atmosphere Cafe,40.183582,44.513008
King Garden,40.177433,44.526405
GotCha Boba Bar,40.192417,44.515514
Charles Cafe & Restaurant,40.189899,44.515446
Natura Gold,40.182964,44.517624
Abovyan 23 Parisienne,40.185539,44.520557
4TEEN Cafe and Restaurant,40.180164,44.527351
Grill House,40.180183,44.510773
Fish House,40.183865,44.515068
Hacatun 73,40.159393,44.429054
Tospia Restaurant,40.182919,44.517082
Big Book,40.189335,44.521633
Munchies,40.181328,44.516048
The Green Bean,40.180164,44.509079
Kuj Restaurant,40.203869,44.501766
Mer Taghe,40.1833,44.516216
Roof Cafe & Restaurant,40.142365,44.522453
Marshal Music Pub,40.189163,44.512962
Arevik Lounge,40.199467,44.514179
Sasnatun,40.173168,44.511223
CEO3,40.189285,44.514297
Elen Restaurant,40.180828,44.506939
Sinatra Restaurant,40.189251,44.512379
Muraba,40.188236,44.512192
Classic Burger Yerevan,40.182552,44.514008
Dolmama Restaurant,40.180492,44.515926
Restaurant Araks Old House,40.183174,44.516041
Surf Yerevan,40.189167,44.516994
Wild West Pub,40.185505,44.516926
Voske Pataraqagh,40.178185,44.50108
Havana Restaurant & Club,40.19035,44.480988
Tumanyan Shaurma,40.197025,44.567696
KARS,40.18861,44.522499
Ktoor,40.183899,44.504852
Ost Food Court,40.186077,44.50753
Lunch House,40.187637,44.521252
Grammy Hall,40.181866,44.516586
EVN Diner,40.186852,44.512142
Beer Academy,40.188721,44.51828
Taj Indian Restaurant,40.208008,44.508728
Arshavner Club,40.181511,44.512745
The VIEW Lounge,40.182777,44.515171
India Palace,40.178814,44.510506
Podwall,40.184113,44.511196
Depot by Voodoo,40.188179,44.511314
Tamzara,40.176216,44.514553
Yerankyuni Home-Restaurant,40.190758,44.474316
Bakeriez,40.188011,44.511524
Old Erivan,40.184181,44.514565
44 Venue,40.183311,44.511997
Mint,40.182644,44.520412
Vostan Restaurant,40.180065,44.51495
Astral Cafe,40.18515,44.516106
Halebi Napoli Pour,40.169689,44.51757
Liban,40.17754,44.507416
Adzoukh,40.18066,44.510017
12 Ktor Pizza,40.179985,44.507133
Qaghaqic Durs Restaurant,40.179817,44.502636
Givi 2 Me Georgian Cuisine,40.186272,44.516655
Sophiste,40.188847,44.514984
Bourj Hammoud,40.188969,44.513138
Sushi Toria Yerevan,40.186153,44.516567
Centro Cafe,40.18285,44.509045
Cafe Central,40.184921,44.52071
Jan Burger,40.183784,44.508141
Merlot Wine Restaurant,40.183029,44.5145
NewTone Park,40.205395,44.479969
Bel Etage,40.187298,44.514011
Valensia Restaurant,40.206207,44.5611
Karas,40.179039,44.513451
Barocco Hall,40.184204,44.49646
dors craft beer & kitchen,40.18047,44.510857
Kyoto Lounge Yerevan,40.186138,44.512501
Karas Tumanyan,40.18272,44.516678
Jockey Restaurant & Cafe,40.148865,44.451328
Kilikia Beerhouse,40.18066,44.515301
Tavern Yerevan,40.179108,44.510284
Cafe de Flore,40.179985,44.524227
Epicure,40.182701,44.512901
Mamoor Restaurant,40.18108,44.515987
Artbridge,40.182728,44.518082
Bianco,40.18433,44.520081
Aries Lunch AUA Business Center,40.176933,44.524448
WineRest,40.187542,44.509956
Dvin restaurant,40.182949,44.516663
Dom By Eg,40.186722,44.508533
At Gayane's,40.186707,44.509903
Pitsa Pazta,40.181187,44.518265
Harich Restaurant,40.203728,44.528912
Art Lunch,40.189022,44.523376
Kamancha Restaurant,40.184242,44.514088
Gouroo Club & Garden,40.186333,44.508404
Lebanon,40.189445,44.51498
Karas national food chain,40.154823,44.510113
Fabrica,40.186405,44.508659
8th Wonder Restaurant,40.180462,44.496807
Tumanyan Shaurma,40.206612,44.512936
Casa de Espana,40.188511,44.518089
Pepper Burger Bar,40.185093,44.510548
Tashir Pizza,40.174335,44.510445
Tavern Yerevan Riverside,40.172729,44.498272
Club Burger,40.188435,44.521515
